"","x"
"312",2018-06-08 12:11:18
"313",2018-06-09 12:11:29
"314",2018-06-10 12:11:40
"315",2018-06-11 12:11:51
"316",2018-06-12 12:12:03
"317",2018-06-13 12:12:15
"318",2018-06-14 12:12:27
"319",2018-06-15 12:12:39
"320",2018-06-16 12:12:51
"321",2018-06-17 12:13:03
"322",2018-06-18 12:13:15
"323",2018-06-19 12:13:27
"324",2018-06-20 12:13:40
"325",2018-06-21 12:13:52
"326",2018-06-22 12:14:04
"327",2018-06-23 12:14:16
"328",2018-06-24 12:14:28
"329",2018-06-25 12:14:40
"330",2018-06-26 12:14:52
"331",2018-06-27 12:15:04
"332",2018-06-28 12:15:15
"333",2018-06-29 12:15:27
"334",2018-06-30 12:15:38
"335",2018-07-01 12:15:49
"336",2018-07-02 12:16:00
"337",2018-07-03 12:16:10
"338",2018-07-04 12:16:20
"339",2018-07-05 12:16:30
"340",2018-07-06 12:16:40
"341",2018-07-07 12:16:49
"342",2018-07-08 12:16:58
"343",2018-07-09 12:17:07
"344",2018-07-10 12:17:15
"345",2018-07-11 12:17:23
"346",2018-07-12 12:17:31
"347",2018-07-13 12:17:38
"348",2018-07-14 12:17:45
"349",2018-07-15 12:17:51
"350",2018-07-16 12:17:57
"351",2018-07-17 12:18:02
"352",2018-07-18 12:18:07
"353",2018-07-19 12:18:12
"354",2018-07-20 12:18:16
"355",2018-07-21 12:18:19
"356",2018-07-22 12:18:22
"357",2018-07-23 12:18:24
"358",2018-07-24 12:18:26
"359",2018-07-25 12:18:27
"360",2018-07-26 12:18:28
"361",2018-07-27 12:18:28
"362",2018-07-28 12:18:28
"363",2018-07-29 12:18:27
"364",2018-07-30 12:18:25
"365",2018-07-31 12:18:23
"366",2018-08-01 12:18:21
"367",2018-08-02 12:18:17
"368",2018-08-03 12:18:13
"369",2018-08-04 12:18:09
"370",2018-08-05 12:18:04
"371",2018-08-06 12:17:58
"372",2018-08-07 12:17:52
"373",2018-08-08 12:17:45
"374",2018-08-09 12:17:38
"375",2018-08-10 12:17:30
"376",2018-08-11 12:17:21
"377",2018-08-12 12:17:12
"378",2018-08-13 12:17:02
"379",2018-08-14 12:16:52
"380",2018-08-15 12:16:41
"381",2018-08-16 12:16:29
"382",2018-08-17 12:16:17
"383",2018-08-18 12:16:05
"384",2018-08-19 12:15:52
"385",2018-08-20 12:15:38
"386",2018-08-21 12:15:24
"387",2018-08-22 12:15:09
"388",2018-08-23 12:14:54
"389",2018-08-24 12:14:38
"390",2018-08-25 12:14:22
"391",2018-08-26 12:14:06
"392",2018-08-27 12:13:49
"393",2018-08-28 12:13:31
"394",2018-08-29 12:13:13
"395",2018-08-30 12:12:55
"396",2018-08-31 12:12:37
"397",2018-09-01 12:12:18
"398",2018-09-02 12:11:58
"399",2018-09-03 12:11:39
"400",2018-09-04 12:11:19
"401",2018-09-05 12:10:58
"402",2018-09-06 12:10:38
"403",2018-09-07 12:10:17
"404",2018-09-08 12:09:56
"405",2018-09-09 12:09:35
"406",2018-09-10 12:09:13
"407",2018-09-11 12:08:52
"408",2018-09-12 12:08:30
"409",2018-09-13 12:08:08
"410",2018-09-14 12:07:46
"411",2018-09-15 12:07:24
"412",2018-09-16 12:07:02
"413",2018-09-17 12:06:40
"414",2018-09-18 12:06:17
"415",2018-09-19 12:05:55
"416",2018-09-20 12:05:33
"417",2018-09-21 12:05:11
"418",2018-09-22 12:04:49
"419",2018-09-23 12:04:27
"420",2018-09-24 12:04:05
"421",2018-09-25 12:03:44
"422",2018-09-26 12:03:22
"423",2018-09-27 12:03:01
"424",2018-09-28 12:02:40
"425",2018-09-29 12:02:19
"426",2018-09-30 12:01:59
"427",2018-10-01 12:01:39
"428",2018-10-02 12:01:19
"429",2018-10-03 12:00:59
"430",2018-10-04 12:00:40
"431",2018-10-05 12:00:22
"432",2018-10-06 12:00:03
"433",2018-10-07 11:59:45
"434",2018-10-08 11:59:28
"435",2018-10-09 11:59:11
"436",2018-10-10 11:58:55
"437",2018-10-11 11:58:39
"438",2018-10-12 11:58:23
"439",2018-10-13 11:58:09
"440",2018-10-14 11:57:54
"441",2018-10-15 11:57:41
"442",2018-10-16 11:57:28
"443",2018-10-17 11:57:15
"444",2018-10-18 11:57:04
"445",2018-10-19 11:56:53
"446",2018-10-20 11:56:42
"447",2018-10-21 11:56:33
"448",2018-10-22 11:56:24
"449",2018-10-23 11:56:16
"450",2018-10-24 11:56:08
"451",2018-10-25 11:56:02
"452",2018-10-26 11:55:56
"453",2018-10-27 11:55:51
"454",2018-10-28 11:55:46
"455",2018-10-29 11:55:43
"456",2018-10-30 11:55:40
"457",2018-10-31 11:55:38
"458",2018-11-01 11:55:37
"459",2018-11-02 11:55:37
"460",2018-11-03 11:55:37
"461",2018-11-04 11:55:39
"462",2018-11-05 11:55:41
"463",2018-11-06 11:55:44
"464",2018-11-07 11:55:48
"465",2018-11-08 11:55:53
"466",2018-11-09 11:55:58
"467",2018-11-10 11:56:05
"468",2018-11-11 11:56:12
"469",2018-11-12 11:56:20
"470",2018-11-13 11:56:29
"471",2018-11-14 11:56:39
"472",2018-11-15 11:56:50
"473",2018-11-16 11:57:01
"474",2018-11-17 11:57:14
"475",2018-11-18 11:57:27
"476",2018-11-19 11:57:40
"477",2018-11-20 11:57:55
"478",2018-11-21 11:58:10
"479",2018-11-22 11:58:27
"480",2018-11-23 11:58:43
"481",2018-11-24 11:59:01
"482",2018-11-25 11:59:19
"483",2018-11-26 11:59:38
"484",2018-11-27 11:59:58
"485",2018-11-28 12:00:18
"486",2018-11-29 12:00:39
"487",2018-11-30 12:01:01
"488",2018-12-01 12:01:23
"489",2018-12-02 12:01:45
"490",2018-12-03 12:02:09
"491",2018-12-04 12:02:32
"492",2018-12-05 12:02:57
"493",2018-12-06 12:03:21
"494",2018-12-07 12:03:47
"495",2018-12-08 12:04:12
"496",2018-12-09 12:04:38
"497",2018-12-10 12:05:05
"498",2018-12-11 12:05:32
"499",2018-12-12 12:05:59
"500",2018-12-13 12:06:26
"501",2018-12-14 12:06:54
"502",2018-12-15 12:07:22
"503",2018-12-16 12:07:50
"504",2018-12-17 12:08:18
"505",2018-12-18 12:08:47
"506",2018-12-19 12:09:16
"507",2018-12-20 12:09:44
"508",2018-12-21 12:10:13
"509",2018-12-22 12:10:42
"510",2018-12-23 12:11:11
"511",2018-12-24 12:11:40
"512",2018-12-25 12:12:09
"513",2018-12-26 12:12:38
"514",2018-12-27 12:13:06
"515",2018-12-28 12:13:35
"516",2018-12-29 12:14:03
"517",2018-12-30 12:14:31
"518",2018-12-31 12:14:59
"519",2019-01-01 12:15:27
"520",2019-01-02 12:15:54
"521",2019-01-03 12:16:22
"522",2019-01-04 12:16:48
"523",2019-01-05 12:17:15
"524",2019-01-06 12:17:41
"525",2019-01-07 12:18:07
"526",2019-01-08 12:18:32
"527",2019-01-09 12:18:57
"528",2019-01-10 12:19:21
"529",2019-01-11 12:19:45
"530",2019-01-12 12:20:08
"531",2019-01-13 12:20:31
"532",2019-01-14 12:20:53
"533",2019-01-15 12:21:15
"534",2019-01-16 12:21:36
"535",2019-01-17 12:21:56
"536",2019-01-18 12:22:16
"537",2019-01-19 12:22:35
"538",2019-01-20 12:22:54
"539",2019-01-21 12:23:11
"540",2019-01-22 12:23:28
"541",2019-01-23 12:23:45
"542",2019-01-24 12:24:00
"543",2019-01-25 12:24:15
"544",2019-01-26 12:24:29
"545",2019-01-27 12:24:42
"546",2019-01-28 12:24:55
"547",2019-01-29 12:25:07
"548",2019-01-30 12:25:17
"549",2019-01-31 12:25:28
"550",2019-02-01 12:25:37
"551",2019-02-02 12:25:45
"552",2019-02-03 12:25:53
"553",2019-02-04 12:26:00
"554",2019-02-05 12:26:06
"555",2019-02-06 12:26:11
"556",2019-02-07 12:26:16
"557",2019-02-08 12:26:19
"558",2019-02-09 12:26:22
"559",2019-02-10 12:26:24
"560",2019-02-11 12:26:25
"561",2019-02-12 12:26:26
"562",2019-02-13 12:26:25
"563",2019-02-14 12:26:24
"564",2019-02-15 12:26:22
"565",2019-02-16 12:26:19
"566",2019-02-17 12:26:16
"567",2019-02-18 12:26:11
"568",2019-02-19 12:26:06
"569",2019-02-20 12:26:01
"570",2019-02-21 12:25:54
"571",2019-02-22 12:25:47
"572",2019-02-23 12:25:39
"573",2019-02-24 12:25:31
"574",2019-02-25 12:25:22
"575",2019-02-26 12:25:12
"576",2019-02-27 12:25:01
"577",2019-02-28 12:24:50
"578",2019-03-01 12:24:39
"579",2019-03-02 12:24:27
"580",2019-03-03 12:24:14
"581",2019-03-04 12:24:01
"582",2019-03-05 12:23:47
"583",2019-03-06 12:23:33
"584",2019-03-07 12:23:18
"585",2019-03-08 12:23:03
"586",2019-03-09 12:22:48
"587",2019-03-10 12:22:32
"588",2019-03-11 12:22:15
"589",2019-03-12 12:21:59
"590",2019-03-13 12:21:42
"591",2019-03-14 12:21:25
"592",2019-03-15 12:21:07
"593",2019-03-16 12:20:49
"594",2019-03-17 12:20:31
"595",2019-03-18 12:20:13
"596",2019-03-19 12:19:55
"597",2019-03-20 12:19:36
"598",2019-03-21 12:19:18
"599",2019-03-22 12:18:59
"600",2019-03-23 12:18:40
"601",2019-03-24 12:18:21
"602",2019-03-25 12:18:02
"603",2019-03-26 12:17:43
"604",2019-03-27 12:17:24
"605",2019-03-28 12:17:05
"606",2019-03-29 12:16:46
"607",2019-03-30 12:16:28
"608",2019-03-31 12:16:09
"609",2019-04-01 12:15:50
"610",2019-04-02 12:15:32
"611",2019-04-03 12:15:14
"612",2019-04-04 12:14:56
"613",2019-04-05 12:14:38
"614",2019-04-06 12:14:21
"615",2019-04-07 12:14:03
"616",2019-04-08 12:13:46
"617",2019-04-09 12:13:29
"618",2019-04-10 12:13:13
"619",2019-04-11 12:12:57
"620",2019-04-12 12:12:41
"621",2019-04-13 12:12:26
"622",2019-04-14 12:12:11
"623",2019-04-15 12:11:56
"624",2019-04-16 12:11:42
"625",2019-04-17 12:11:28
"626",2019-04-18 12:11:15
"627",2019-04-19 12:11:02
"628",2019-04-20 12:10:50
"629",2019-04-21 12:10:38
"630",2019-04-22 12:10:26
"631",2019-04-23 12:10:15
"632",2019-04-24 12:10:05
"633",2019-04-25 12:09:55
"634",2019-04-26 12:09:45
"635",2019-04-27 12:09:37
"636",2019-04-28 12:09:28
"637",2019-04-29 12:09:20
"638",2019-04-30 12:09:13
"639",2019-05-01 12:09:06
"640",2019-05-02 12:09:00
"641",2019-05-03 12:08:55
"642",2019-05-04 12:08:50
"643",2019-05-05 12:08:45
"644",2019-05-06 12:08:41
"645",2019-05-07 12:08:38
"646",2019-05-08 12:08:35
"647",2019-05-09 12:08:33
"648",2019-05-10 12:08:31
"649",2019-05-11 12:08:30
"650",2019-05-12 12:08:30
"651",2019-05-13 12:08:30
"652",2019-05-14 12:08:30
"653",2019-05-15 12:08:32
"654",2019-05-16 12:08:33
"655",2019-05-17 12:08:35
"656",2019-05-18 12:08:38
"657",2019-05-19 12:08:41
"658",2019-05-20 12:08:45
"659",2019-05-21 12:08:49
"660",2019-05-22 12:08:54
"661",2019-05-23 12:08:59
"662",2019-05-24 12:09:05
"663",2019-05-25 12:09:11
"664",2019-05-26 12:09:17
"665",2019-05-27 12:09:24
"666",2019-05-28 12:09:31
"667",2019-05-29 12:09:39
"668",2019-05-30 12:09:47
"669",2019-05-31 12:09:56
"670",2019-06-01 12:10:04
"671",2019-06-02 12:10:14
"672",2019-06-03 12:10:23
"673",2019-06-04 12:10:33
"674",2019-06-05 12:10:43
"675",2019-06-06 12:10:53
"676",2019-06-07 12:11:04
"677",2019-06-08 12:11:15
"678",2019-06-09 12:11:26
"679",2019-06-10 12:11:37
"680",2019-06-11 12:11:48
"681",2019-06-12 12:12:00
"682",2019-06-13 12:12:12
"683",2019-06-14 12:12:24
"684",2019-06-15 12:12:36
"685",2019-06-16 12:12:48
"686",2019-06-17 12:13:00
"687",2019-06-18 12:13:12
"688",2019-06-19 12:13:24
"689",2019-06-20 12:13:36
"690",2019-06-21 12:13:49
"691",2019-06-22 12:14:01
"692",2019-06-23 12:14:13
"693",2019-06-24 12:14:25
"694",2019-06-25 12:14:37
"695",2019-06-26 12:14:49
"696",2019-06-27 12:15:01
"697",2019-06-28 12:15:12
"698",2019-06-29 12:15:24
"699",2019-06-30 12:15:35
"700",2019-07-01 12:15:46
"701",2019-07-02 12:15:57
"702",2019-07-03 12:16:07
"703",2019-07-04 12:16:18
"704",2019-07-05 12:16:28
"705",2019-07-06 12:16:37
"706",2019-07-07 12:16:47
"707",2019-07-08 12:16:56
"708",2019-07-09 12:17:05
"709",2019-07-10 12:17:13
"710",2019-07-11 12:17:21
"711",2019-07-12 12:17:29
"712",2019-07-13 12:17:36
"713",2019-07-14 12:17:43
"714",2019-07-15 12:17:49
"715",2019-07-16 12:17:55
"716",2019-07-17 12:18:01
"717",2019-07-18 12:18:06
"718",2019-07-19 12:18:10
"719",2019-07-20 12:18:15
"720",2019-07-21 12:18:18
"721",2019-07-22 12:18:21
"722",2019-07-23 12:18:24
"723",2019-07-24 12:18:26
"724",2019-07-25 12:18:27
"725",2019-07-26 12:18:28
"726",2019-07-27 12:18:28
"727",2019-07-28 12:18:28
"728",2019-07-29 12:18:27
"729",2019-07-30 12:18:26
"730",2019-07-31 12:18:24
