DOY,SolarNoon
141,12:03:00 PM
142,12:03:00 PM
143,12:03:00 PM
144,12:03:00 PM
145,12:03:00 PM
146,12:03:00 PM
147,12:03:00 PM
148,12:03:00 PM
149,12:03:00 PM
150,12:02:00 PM
151,12:02:00 PM
152,12:02:00 PM
153,12:02:00 PM
154,12:02:00 PM
155,12:02:00 PM
156,12:01:00 PM
157,12:01:00 PM
158,12:01:00 PM
159,12:01:00 PM
160,12:01:00 PM
161,12:01:00 PM
162,12:00:00 PM
163,12:00:00 PM
164,12:00:00 PM
165,12:00:00 PM
166,11:59:00 AM
167,11:59:00 AM
168,11:59:00 AM
169,11:59:00 AM
170,11:59:00 AM
171,11:58:00 AM
172,11:58:00 AM
173,11:58:00 AM
174,11:58:00 AM
175,11:57:00 AM
176,11:57:00 AM
177,11:57:00 AM
178,11:57:00 AM
179,11:57:00 AM
180,11:56:00 AM
181,11:56:00 AM
182,11:56:00 AM
183,11:56:00 AM
184,11:56:00 AM
185,11:55:00 AM
186,11:55:00 AM
187,11:55:00 AM
188,11:55:00 AM
189,11:55:00 AM
190,11:54:00 AM
191,11:54:00 AM
192,11:54:00 AM
193,11:54:00 AM
194,11:54:00 AM
195,11:54:00 AM
196,11:54:00 AM
197,11:53:00 AM
198,11:53:00 AM
199,11:53:00 AM
200,11:53:00 AM
201,11:53:00 AM
202,11:53:00 AM
203,11:53:00 AM
204,11:53:00 AM
205,11:53:00 AM
206,11:53:00 AM
207,11:53:00 AM
208,11:53:00 AM
209,11:53:00 AM
210,11:53:00 AM
211,11:53:00 AM
212,11:53:00 AM
213,11:53:00 AM
214,11:53:00 AM
215,11:53:00 AM
216,11:53:00 AM
217,11:53:00 AM
218,11:53:00 AM
219,11:53:00 AM
220,11:53:00 AM
221,11:54:00 AM
222,11:54:00 AM
223,11:54:00 AM
224,11:54:00 AM
225,11:54:00 AM
226,11:54:00 AM
227,11:55:00 AM
228,11:55:00 AM
229,11:55:00 AM
230,11:55:00 AM
231,11:55:00 AM
232,11:56:00 AM
233,11:56:00 AM
234,11:56:00 AM
235,11:56:00 AM
236,11:57:00 AM
237,11:57:00 AM
238,11:57:00 AM
239,11:58:00 AM
240,11:58:00 AM
241,11:58:00 AM
242,11:58:00 AM
243,11:59:00 AM
244,11:59:00 AM
245,11:59:00 AM
246,12:00:00 PM
247,12:00:00 PM
248,12:00:00 PM
249,12:01:00 PM
250,12:01:00 PM
251,12:02:00 PM
252,12:02:00 PM
253,12:02:00 PM
254,12:03:00 PM
255,12:03:00 PM
256,12:03:00 PM
257,12:04:00 PM
258,12:04:00 PM
259,12:05:00 PM
260,12:05:00 PM
261,12:05:00 PM
262,12:06:00 PM
263,12:06:00 PM
264,12:07:00 PM
265,12:07:00 PM
266,12:07:00 PM
267,12:08:00 PM
268,12:08:00 PM
269,12:08:00 PM
270,12:09:00 PM
271,12:09:00 PM
272,12:09:00 PM
273,12:10:00 PM
274,12:10:00 PM
275,12:10:00 PM
276,12:11:00 PM
277,12:11:00 PM
278,12:11:00 PM
279,12:12:00 PM
280,12:12:00 PM
281,12:12:00 PM
282,12:13:00 PM
283,12:13:00 PM
284,12:13:00 PM
285,12:13:00 PM
286,12:14:00 PM
287,12:14:00 PM
288,12:14:00 PM
289,12:14:00 PM
290,12:15:00 PM
291,12:15:00 PM
292,12:15:00 PM
293,12:15:00 PM
294,12:15:00 PM
295,12:15:00 PM
296,12:16:00 PM
297,12:16:00 PM
298,12:16:00 PM
299,12:16:00 PM
300,12:16:00 PM
301,12:16:00 PM
302,12:16:00 PM
303,12:16:00 PM
304,12:16:00 PM
305,12:16:00 PM
306,12:16:00 PM
307,12:16:00 PM
308,12:16:00 PM
309,12:16:00 PM
310,12:16:00 PM
311,12:16:00 PM
312,12:16:00 PM
313,12:16:00 PM
314,12:16:00 PM
315,12:16:00 PM
316,12:15:00 PM
317,12:15:00 PM
318,12:15:00 PM
319,12:15:00 PM
320,12:15:00 PM
321,12:15:00 PM
322,12:14:00 PM
323,12:14:00 PM
324,12:14:00 PM
325,12:14:00 PM
326,12:13:00 PM
327,12:13:00 PM
328,12:13:00 PM
329,12:12:00 PM
330,12:12:00 PM
331,12:12:00 PM
332,12:11:00 PM
333,12:11:00 PM
334,12:11:00 PM
335,12:10:00 PM
336,12:10:00 PM
337,12:10:00 PM
338,12:09:00 PM
339,12:09:00 PM
340,12:08:00 PM
341,12:08:00 PM
342,12:08:00 PM
343,12:07:00 PM
344,12:07:00 PM
345,12:06:00 PM
346,12:06:00 PM
347,12:05:00 PM
348,12:05:00 PM
349,12:05:00 PM
350,12:04:00 PM
351,12:04:00 PM
352,12:03:00 PM
353,12:03:00 PM
354,12:02:00 PM
355,12:02:00 PM
356,12:01:00 PM
357,12:01:00 PM
358,12:00:00 PM
359,12:00:00 PM
360,11:59:00 AM
361,11:59:00 AM
362,11:58:00 AM
363,11:58:00 AM
364,11:57:00 AM
365,11:57:00 AM
