date,max_temperature,avg_hourly_temperature,avg_temperature,min_temperature,max_humidex,min_windchill,max_relative_humidity,avg_hourly_relative_humidity,avg_relative_humidity,min_relative_humidity,max_dew_point,avg_hourly_dew_point,avg_dew_point,min_dew_point,max_wind_speed,avg_hourly_wind_speed,avg_wind_speed,min_wind_speed,max_wind_gust,wind_gust_dir_10s,max_pressure_sea,avg_hourly_pressure_sea,avg_pressure_sea,min_pressure_sea,max_pressure_station,avg_hourly_pressure_station,avg_pressure_station,min_pressure_station,max_visibility,avg_hourly_visibility,avg_visibility,min_visibility,max_health_index,avg_hourly_health_index,avg_health_index,min_health_index,heatdegdays,cooldegdays,growdegdays_5,growdegdays_7,growdegdays_10,precipitation,rain,snow,snow_on_ground,sunrise,sunset,daylight,sunrise_f,sunset_f,min_uv_forecast,max_uv_forecast,min_high_temperature_forecast,max_high_temperature_forecast,min_low_temperature_forecast,max_low_temperature_forecast,solar_radiation,max_cloud_cover_4,avg_hourly_cloud_cover_4,avg_cloud_cover_4,min_cloud_cover_4,max_cloud_cover_8,avg_hourly_cloud_cover_8,avg_cloud_cover_8,min_cloud_cover_8,max_cloud_cover_10,avg_hourly_cloud_cover_10,avg_cloud_cover_10,min_cloud_cover_10
2021-03-11,18.4,12.45,10.89,3.4,,,76,60.3,62.5,49,11,4.9,5.5,0.1,46,31.88,32,18,72,22,101.9,101.41,101.43,100.96,98.03,97.59,97.6,97.16,16100,16100,16100,16100,3.7,2.8,2.8,2,7.1,0,5.9,3.9,0.9,2.6,2.6,0,0,06:41:00,18:23:00,11.7,6.68,18.38,3,3,16,16,-4,-2,,4,2.1,2,0,,,,,,,,
2021-03-10,16.3,7.88,6.2,-3.9,,-6,96,63,66.5,37,3.8,0.3,-0.2,-4.2,30,14.42,17.5,5,45,21,102.8,102.21,102.26,101.71,98.85,98.3,98.36,97.87,16100,15089.5,13700,11300,4.5,3.7,3.8,3,11.8,0,1.2,0,0,0,0,0,5,06:43:00,18:21:00,11.63,6.72,18.35,5,5,12,12,6,8,,4,1.2,2,0,,,,,,,,
2021-03-09,9.2,2.35,3.05,-3.1,,-5,97,80.1,73,49,0.3,-1.1,-0.9,-2.2,13,8.71,8.5,4,,,103.08,102.85,102.77,102.46,99.12,98.89,98.83,98.53,16100,15185.7,12900,9700,3.4,2.8,2.8,2.2,14.9,0,0,0,0,0,0,0,5,06:44:00,18:20:00,11.6,6.73,18.33,5,5,9,9,0,0,,2,0.2,1,0,,,,,,,,
2021-03-08,7.1,-0.53,-2.9,-12.9,,-15,91,72.7,70,49,0.1,-5.2,-7,-14.1,30,14.38,15,0,45,18,103.13,102.65,102.67,102.22,99.07,98.65,98.65,98.24,16100,16100,16100,16100,3.7,3.1,3,2.4,20.9,0,0,0,0,0,0,0,8,06:46:00,18:19:00,11.55,6.77,18.32,4,4,9,9,-2,-2,,4,2,2,0,,,,,,,,
2021-03-07,-2.7,-7.97,-8.19,-13.7,,-18,92,70.3,68.5,45,-12,-13,-13.2,-14.4,18,7.92,9,0,33,35,103.18,103.01,102.88,102.59,99.11,98.96,98.83,98.56,16100,16100,16100,16100,3.1,2.5,2.6,2.2,26.2,0,0,0,0,0,0,0,8,06:48:00,18:18:00,11.5,6.8,18.3,3,3,-2,-2,-14,-13,,3,0.2,1.5,0,,,,,,,,
2021-03-06,-2,-5.86,-6.05,-10.1,,-15,81,69.2,66.5,52,-7.8,-10.8,-9.9,-12.1,32,19.12,20.5,9,45,30,102.58,102.29,102.26,101.95,98.55,98.29,98.27,97.98,16100,15695.8,11250,6400,2.3,2.1,2.1,2,24.1,0,0,0,0,0,0,0,8,06:50:00,18:16:00,11.43,6.83,18.27,1,3,-2,-1,-14,-12,,4,2.2,2,0,,,,,,,,
2021-03-05,-0.2,-5.53,-5.6,-11,,-18,85,63.5,67.5,50,-6.3,-11.5,-11.7,-17,54,25.38,33.5,13,68,30,102.3,102.02,102.03,101.76,98.27,98,98.02,97.77,16100,15833.3,12900,9700,2.3,2.2,2.1,2,23.6,0,0,0,0,0.2,0,0,10,06:51:00,18:15:00,11.4,6.85,18.25,3,3,-1,0,-8,-7,,4,0.6,2,0,,,,,,,,
2021-03-04,0.4,-5.22,-5.2,-10.8,,-18,88,72.4,71.5,55,-1.5,-9.5,-7.5,-13.6,34,21.71,21.5,9,48,35,102.4,102.05,101.98,101.55,98.37,98.08,98.01,97.64,16100,16100,16100,16100,2.8,2.1,2.4,2,23.2,0,0,0,0,0,0,0,10,06:53:00,18:14:00,11.35,6.88,18.23,3,3,-4,-4,-13,-13,,4,1.3,2,0,,,,,,,,
2021-03-03,4.5,0.82,0.75,-3,,-8,90,75.9,78.5,67,-0.7,-3,-4,-7.2,26,16.67,18.5,11,41,24,101.56,101.29,101.36,101.15,97.65,97.37,97.45,97.25,16100,16100,16100,16100,3.7,3,3,2.3,17.2,0,0,0,0,0,0,0,15,06:55:00,18:13:00,11.3,6.92,18.22,3,4,5,5,-8,-7,,4,1.2,2,0,,,,,,,,
2021-03-02,-1.5,-7.08,-7.25,-13,,-18,81,69.1,69,57,-7.3,-11.9,-11.7,-16,34,16.04,19.5,5,46,24,102.81,102.23,102,101.19,98.74,98.21,97.99,97.25,16100,15695.8,11250,6400,2.4,2.2,2.2,2.1,25.2,0,0,0,0,0,0,0,15,06:56:00,18:11:00,11.25,6.93,18.18,4,4,-3,-2,-10,-1,,4,2.1,2,0,,,,,,,,
2021-03-01,3.5,-3.78,-3.75,-11,,-20,86,75.1,71.5,57,1.4,-7.6,-6.4,-14.2,45,31.96,28,11,72,30,102.49,101.38,101.43,100.38,98.46,97.45,97.49,96.52,16100,14425,10450,4800,2.2,2.1,2,1.9,21.8,0,0,0,0,0,0,5,12,06:58:00,18:10:00,11.2,6.97,18.17,1,1,-4,-3,-11,-10,,4,3,2,0,,,,,,,,
2021-02-28,5.9,1.12,1.55,-2.8,,-6,100,97.4,93.5,87,4.9,0.7,1,-2.9,39,15.04,19.5,0,61,28,102.33,101.33,101.29,100.25,98.37,97.42,97.39,96.4,16100,5587.5,8050,0,3.7,2.7,2.7,1.7,16.4,0,0,0,0,0.9,1.7,0,15,07:00:00,18:09:00,11.15,7,18.15,1,1,6,6,-3,-1,,4,3.4,2,0,,,,,,,,
2021-02-27,3.1,0.11,-1.45,-6,,-7,99,87.3,86,73,2,-1.8,-2.2,-6.5,32,15.12,16,0,50,26,102.4,101.72,101.74,101.09,98.44,97.78,97.81,97.17,16100,11237.5,8150,200,4.4,3.2,3.3,2.2,19.4,0,0,0,0,6.2,0,0,20,07:01:00,18:07:00,11.1,7.02,18.12,2,3,2,4,-5,-3,,4,2.5,2,0,,,,,,,,
2021-02-26,1.5,-3.86,-5.2,-11.9,,-13,95,76,71.5,48,-5.5,-7.9,-9.1,-12.7,22,11.79,11,0,33,14,102.99,102.63,102.45,101.91,98.95,98.62,98.45,97.95,16100,15766.7,13700,11300,3,2.6,2.7,2.4,23.2,0,0,0,0,0,0,0,20,07:03:00,18:06:00,11.05,7.05,18.1,4,4,3,3,-4,-2,,3,0.1,1.5,0,,,,,,,,
2021-02-25,-0.9,-2.65,-2.9,-4.9,,-11,82,69.2,69.5,57,-4.6,-7.6,-7.2,-9.7,39,21.25,25,11,59,29,102.57,102.33,102.17,101.76,98.58,98.35,98.21,97.84,16100,16033.3,15300,14500,2.6,2.2,2.4,2.1,20.9,0,0,0,0,0,0,0,20,07:05:00,18:05:00,11,7.08,18.08,2,3,-1,-1,-10,-9,,4,2.2,2,0,,,,,,,,
2021-02-24,6.8,1.4,1.65,-3.5,,-8,94,80,77,60,0.8,-1.8,-2.2,-5.1,45,22.71,24.5,4,61,28,101.65,100.86,100.89,100.12,97.74,96.97,97,96.27,16100,15095.8,11250,6400,3.5,2.9,2.8,2.1,16.4,0,0,0,0,0,0,0,25,07:06:00,18:04:00,10.97,7.1,18.07,1,1,5,5,-6,-4,,4,2.6,2,0,,,,,,,,
2021-02-23,3.5,1.03,0.8,-1.9,,-8,96,85.5,86,76,0.1,-1.2,-1.9,-3.9,39,22.25,22,5,55,29,101.29,100.36,100.51,99.73,97.38,96.49,96.62,95.87,16100,12295.8,9250,2400,3.9,2.8,3.2,2.5,17.2,0,0,0,0,0.2,0,0,28,07:08:00,18:02:00,10.9,7.13,18.03,1,1,4,4,-2,-1,,4,3.5,2,0,,,,,,,,
2021-02-22,1.8,-0.73,-1.65,-5.1,,-11,97,87.5,82.5,68,0.5,-2.6,-4.8,-10.2,34,24.79,22.5,11,52,23,101.75,100.59,100.95,100.15,97.76,96.68,97.01,96.26,16100,11545.8,9050,2000,4,3.1,3.2,2.4,19.6,0,0,0,0,2.3,0,2,28,07:09:00,18:01:00,10.87,7.15,18.02,1,1,2,2,-2,-2,,4,4,4,4,,,,,,,,
2021-02-21,-3.8,-11.35,-12.9,-22,,-25,93,77.4,76.5,60,-8.1,-14.7,-15.7,-23.3,17,7.88,8.5,0,,,103.41,103.01,102.67,101.93,99.28,98.92,98.61,97.93,16100,12783.3,8150,200,5.4,4.4,4,2.6,30.9,0,0,0,0,0,0,7,25,07:11:00,18:00:00,10.82,7.18,18,3,3,-3,-3,-6,-5,,4,1.2,2,0,,,,,,,,
2021-02-20,-3.7,-7.33,-11.05,-18.4,,-20,91,79.4,75,59,-7.9,-10.5,-13.1,-18.2,26,12.83,13,0,39,28,103.11,102.47,102.62,102.13,99.02,98.44,98.57,98.12,16100,11916.7,8250,400,3.4,2.9,2.9,2.4,29.1,0,0,0,0,0,0,0,25,07:13:00,17:58:00,10.75,7.22,17.97,2,2,-4,-4,-14,-12,,4,2,2,0,,,,,,,,
2021-02-19,-4.1,-6.76,-7.5,-10.9,,-15,92,83.9,82.5,73,-7.6,-9.1,-10.2,-12.7,17,9.08,8.5,0,,,102.31,102.16,102.17,102.03,98.3,98.14,98.17,98.03,16100,11229.2,10050,4000,3,2.7,2.7,2.4,25.5,0,0,0,0,0.4,0,0,25,07:14:00,17:57:00,10.72,7.23,17.95,1,3,-5,-4,-12,-10,,4,3.5,2,0,,,,,,,,
2021-02-18,-4.7,-7.24,-8.94,-13.2,,-16,90,80.5,80,70,-6.8,-10.1,-11,-15.2,24,16.12,14,4,33,7,103.24,102.78,102.77,102.31,99.15,98.73,98.72,98.29,16100,11445.8,9050,2000,3,2.7,2.7,2.4,26.9,0,0,0,0,0.2,0,6,22,07:16:00,17:56:00,10.67,7.27,17.93,2,2,-5,-5,-11,-7,,4,3.6,2,0,,,,,,,,
2021-02-17,-6.3,-11.72,-13.65,-21,,-25,89,75.8,73,57,-13.2,-15.4,-16.9,-20.6,18,8.79,11,4,,,103.23,102.96,102.81,102.39,99.13,98.86,98.72,98.32,16100,15225,10450,4800,3.4,2.4,2.8,2.1,31.6,0,0,0,0,0,0,0,22,07:17:00,17:55:00,10.63,7.28,17.92,2,2,-6,-6,-13,-11,,4,1.8,2,0,,,,,,,,
2021-02-16,-8.1,-11.49,-14.3,-20.5,,-22,88,77.1,76.5,65,-11.3,-14.8,-15.6,-19.8,34,20.12,19.5,5,45,3,102.33,101.18,101.44,100.55,98.24,97.17,97.4,96.57,16100,12000,8450,800,2.3,1.9,2,1.7,32.3,0,0,0,0,2.1,0,0,22,07:19:00,17:53:00,10.57,7.32,17.88,1,2,-9,-9,-18,-17,,4,2.5,2,0,,,,,,,,
2021-02-15,-5.1,-8.58,-8.3,-11.5,,-20,91,79.7,77.5,64,-10.2,-11.6,-11.7,-13.2,24,10.29,12,0,42,3,102.65,102.3,101.95,101.25,98.6,98.26,97.93,97.26,16100,11658.3,8650,1200,2.5,2.1,2.1,1.7,26.3,0,0,0,0,1.9,0,10,12,07:20:00,17:52:00,10.53,7.33,17.87,1,3,-6,-6,-12,-12,,4,3.8,3.5,3,,,,,,,,
2021-02-14,-6.1,-10.89,-12.89,-19.7,,-24,89,78.8,75,61,-11.4,-14,-15.2,-19,15,9.04,7.5,0,,,102.88,102.65,102.54,102.2,98.78,98.58,98.47,98.15,16100,16100,16100,16100,3.1,2.5,2.6,2.2,30.9,0,0,0,0,0,0,0,12,07:21:00,17:51:00,10.5,7.35,17.85,2,2,-5,-4,-9,-9,,4,1,2,0,,,,,,,,
2021-02-13,-9.4,-12,-12.55,-15.7,,-21,86,75.9,71,56,-13.1,-15.5,-16.4,-19.7,34,16.75,21,8,41,7,103.03,102.63,102.61,102.2,98.92,98.55,98.53,98.14,16100,12904.2,9650,3200,2.3,2.2,2.2,2.1,30.6,0,0,0,0,0,0,0,12,07:23:00,17:49:00,10.43,7.38,17.82,1,1,-10,-10,-16,-16,,4,3.5,2,0,,,,,,,,
2021-02-12,-9.2,-12.04,-13.2,-17.2,,-20,81,74.4,72.5,64,-13.1,-15.8,-15.7,-18.2,17,10.42,10.5,4,,,103.03,102.94,102.9,102.78,98.96,98.85,98.83,98.7,16100,12304.2,9650,3200,2.5,2.2,2.2,2,31.2,0,0,0,0,0,0,0,12,07:24:00,17:48:00,10.4,7.4,17.8,1,2,-7,-7,-18,-17,,4,3.5,2,0,,,,,,,,
2021-02-11,-6.3,-10.3,-11,-15.7,,-20,90,71.6,72,54,-13,-14.7,-15.1,-17.1,15,8.67,9.5,4,,,103.08,102.89,102.86,102.64,98.98,98.81,98.78,98.58,16100,16100,16100,16100,3.1,2.6,2.6,2.2,29,0,0,0,0,0,0,0,14,07:26:00,17:47:00,10.35,7.43,17.78,2,2,-6,-6,-16,-16,,4,2,2,0,,,,,,,,
2021-02-10,-8,-11.49,-13.05,-18.1,,-22,89,75.8,75,61,-12.9,-15.1,-16.1,-19.3,21,9.54,10.5,0,,,102.95,102.78,102.79,102.63,98.87,98.7,98.72,98.57,16100,16033.3,15300,14500,3.2,2.8,2.8,2.5,31.1,0,0,0,0,0,0,0,14,07:27:00,17:45:00,10.3,7.45,17.75,2,3,-9,-8,-17,-14,,4,2.2,2,0,,,,,,,,
2021-02-09,-6.3,-10.15,-10.7,-15.1,,-17,91,79.9,79.5,68,-11.3,-13.1,-13.4,-15.6,21,9.04,10.5,0,32,28,102.72,102.55,102.57,102.41,98.66,98.48,98.52,98.37,16100,13383.3,9450,2800,4,3,3.3,2.6,28.7,0,0,0,0,0,0,0,14,07:28:00,17:44:00,10.27,7.47,17.73,1,2,-7,-5,-17,-16,,4,2.7,2,0,,,,,,,,
2021-02-08,-9.8,-12.48,-12.7,-15.6,,-22,87,71.7,72.5,58,-13.7,-16.7,-16.1,-18.4,18,9.83,9,0,,,102.9,102.71,102.72,102.53,98.78,98.62,98.61,98.45,16100,14154.2,9250,2400,3.1,2.4,2.6,2.2,30.7,0,0,0,0,0.2,0,2,12,07:30:00,17:43:00,10.22,7.5,17.72,2,2,-9,-9,-13,-12,,4,2.8,2,0,,,,,,,,
2021-02-07,-9.1,-12.07,-13.25,-17.4,,-24,87,74.7,73,59,-11.6,-15.8,-15.2,-18.9,39,19.83,21.5,4,50,28,102.46,101.82,101.92,101.37,98.37,97.78,97.87,97.37,16100,13283.3,9250,2400,2.6,2.4,2.3,2,31.2,0,0,0,0,0,,,,07:31:00,17:41:00,10.17,7.52,17.68,2,2,-10,-9,-16,-16,,4,2.5,2,0,,,,,,,,
2021-02-06,-7.7,-9.6,-9.25,-10.8,,-20,81,73.5,72,63,-12.2,-13.5,-13.2,-14.3,41,25.08,24.5,8,58,23,101.82,101.32,101.15,100.49,97.79,97.32,97.17,96.54,16100,13304.2,8850,1600,2.6,2.3,2.3,2,27.2,0,0,0,0,0,,,,07:32:00,17:40:00,10.13,7.53,17.67,1,1,-9,-8,-11,-10,,4,3.4,2,0,,,,,,,,
2021-02-05,0.9,-5.46,-4.45,-9.8,,-19,98,80.5,82.5,67,0.1,-8.4,-7,-14,43,32.88,32,21,68,23,100.49,99.9,99.84,99.2,96.54,96.01,95.95,95.36,16100,9700,8850,1600,2.6,2.1,2.2,1.8,22.4,0,0,0,0,0,0,0,15,07:33:00,17:39:00,10.1,7.55,17.65,1,1,-6,-4,-10,-10,,4,3.8,2.5,1,,,,,,,,
2021-02-04,1.1,-4.54,-6.05,-13.2,,-17,96,78.5,72.5,49,-2,-8,-8.2,-14.5,22,12.21,11,0,41,13,101.66,101.14,100.77,99.87,97.67,97.19,96.83,96,16100,14991.7,9450,2800,3.2,2.7,2.7,2.2,24.1,0,0,0,0,1.5,0,6,10,07:34:00,17:37:00,10.05,7.57,17.62,2,2,1,1,-2,-1,,4,1.1,2,0,,,,,,,,
2021-02-03,-1.5,-5.11,-5,-8.5,,-16,85,74.2,72.5,60,-8,-9.1,-9.2,-10.4,35,21.88,24,13,48,33,101.5,101.29,101.28,101.05,97.52,97.33,97.31,97.11,16100,16100,16100,16100,2.4,2.2,2.1,1.9,23,0,0,0,0,0,,,,07:36:00,17:36:00,10,7.6,17.6,2,2,-1,-1,-9,-9,,0,0,0,0,,,,,,,,
2021-02-02,-1.4,-5.53,-6,-10.6,,-18,77,63.2,62.5,48,-7.2,-11.6,-11.8,-16.4,32,21.46,21.5,11,48,32,101.74,101.39,101.41,101.09,97.74,97.41,97.44,97.15,16100,16100,16100,16100,2.3,2.1,2.1,2,24,0,0,0,0,0,0,0,12,07:37:00,17:34:00,9.95,7.62,17.57,2,2,-2,-2,-9,-9,,4,0.8,2,0,,,,,,,,
2021-02-01,-2.7,-7,-6.55,-10.4,,-18,77,62.6,61.5,46,-8.2,-13.1,-11.8,-15.4,22,14.46,15.5,9,37,6,102,101.87,101.86,101.71,97.98,97.86,97.85,97.71,16100,16100,16100,16100,2.5,2.3,2.3,2.1,24.6,0,0,0,0,0,0,0,12,07:38:00,17:33:00,9.92,7.63,17.55,1,1,-4,-4,-10,-9,,4,3.2,2,0,,,,,,,,
2021-01-31,-4.2,-7.02,-7.3,-10.4,,-17,90,81.8,76,62,-6.5,-9.7,-10.1,-13.7,39,26.25,25,11,58,7,102.49,102.09,102.19,101.89,98.46,98.08,98.17,97.89,16100,16033.3,15300,14500,3,2.5,2.6,2.2,25.3,0,0,0,0,0,0,0,12,07:39:00,17:32:00,9.88,7.65,17.53,1,1,-5,-5,-12,-12,,4,3.7,2.5,1,,,,,,,,
2021-01-30,-3.1,-7.27,-7.2,-11.3,,-17,93,78.3,77.5,62,-8.7,-10.5,-10.6,-12.4,15,6.17,7.5,0,,,102.93,102.74,102.73,102.53,98.89,98.69,98.69,98.49,16100,16030.4,15300,14500,4.5,2.6,3.4,2.2,25.2,0,0,0,0,0,0,0,12,07:40:00,17:30:00,9.83,7.67,17.5,1,2,-6,-6,-14,-14,,4,3.1,2,0,,,,,,,,
2021-01-29,-6.8,-9.76,-11.8,-16.8,,-20,94,79,80,66,-10.5,-12.8,-13.6,-16.6,30,14.04,15,0,45,30,102.91,102.78,102.78,102.64,98.82,98.72,98.7,98.58,16100,16030.4,15300,14500,2.4,2.2,2.2,2.1,29.8,0,0,0,0,0,0,0,12,07:41:00,17:29:00,9.8,7.68,17.48,1,1,-8,-8,-17,-17,,4,3,2,0,,,,,,,,
2021-01-28,-8,-10.99,-11.7,-15.4,,-21,88,78,78.5,69,-10.2,-14.2,-13.7,-17.2,34,18.04,21,8,55,33,103.15,102.94,102.92,102.69,99.06,98.86,98.85,98.64,16100,15613,12100,8100,2.3,2.1,2.1,2,29.7,0,0,0,0,0,0,0,12,07:42:00,17:28:00,9.77,7.7,17.47,1,2,-10,-10,-15,-15,,4,1.7,2,0,,,,,,,,
2021-01-27,-4.2,-6.99,-8.65,-13.1,,-19,86,76.5,75,64,-7.2,-10.5,-10.8,-14.5,24,15.62,16,8,39,32,102.72,102.34,102.22,101.71,98.67,98.33,98.21,97.75,16100,16100,16100,16100,2.3,2.1,2.1,1.9,26.6,0,0,0,0,0,0,0,12,07:43:00,17:26:00,9.72,7.72,17.43,1,1,-5,-5,-16,-14,,4,2.1,2,0,,,,,,,,
2021-01-26,-1.6,-3.24,-4.4,-7.2,,-13,95,87,89,83,-3.2,-5.1,-6,-8.7,37,21.88,25,13,52,6,101.63,101.03,101.09,100.56,97.65,97.1,97.15,96.65,16100,12970.8,8350,600,3.3,2.5,2.7,2.1,22.4,0,0,0,0,1.8,0,5,8,07:44:00,17:25:00,9.68,7.73,17.42,,,-3,-3,-9,-8,,4,3.5,2,0,,,,,,,,
2021-01-25,-1.1,-3.62,-3.5,-5.9,,-10,89,82,80,71,-5,-6.3,-6.3,-7.6,13,5.79,6.5,0,,,102.13,101.91,101.87,101.61,98.14,97.93,97.9,97.66,16100,16100,16100,16100,3,2.6,2.5,2.1,21.5,0,0,0,0,0,0,0,8,07:45:00,17:24:00,9.65,7.75,17.4,1,1,-1,-1,-6,-5,,4,3,2,0,,,,,,,,
2021-01-24,-3.9,-6.4,-7.25,-10.6,,-13,91,77.8,76,61,-7.3,-9.8,-9.4,-11.5,13,6.33,6.5,0,,,102.79,102.45,102.41,102.03,98.75,98.42,98.39,98.03,16100,16100,16100,16100,2.4,2.2,2.2,2.1,25.2,0,0,0,0,0,0,0,8,07:46:00,17:22:00,9.6,7.77,17.37,1,1,-2,-2,-10,-10,,4,3.2,2,0,,,,,,,,
2021-01-23,-6,-8.67,-9.25,-12.5,,-20,85,75.2,75,65,-10,-12.3,-12.4,-14.9,34,15.67,19,4,46,30,102.88,102.53,102.35,101.82,98.81,98.49,98.31,97.82,16100,15695.8,11250,6400,2.2,1.9,2,1.7,27.2,0,0,0,0,0,0,0,8,07:46:00,17:21:00,9.58,7.77,17.35,1,1,-6,-6,-11,-9,,4,3.5,3,2,,,,,,,,
2021-01-22,-0.1,-4.61,-4.59,-9.1,,-16,94,76.8,81.5,69,-3.2,-8.1,-7.5,-11.9,37,25.83,25,13,54,30,101.8,100.98,100.94,100.09,97.8,97.05,97.01,96.22,16100,15595.8,10050,4000,1.9,1.8,1.8,1.7,22.6,0,0,0,0,0.7,0,0,8,07:47:00,17:20:00,9.55,7.78,17.33,1,1,-4,-4,-12,-10,,4,3.9,3.5,3,,,,,,,,
2021-01-21,1.4,-0.35,-0.7,-2.8,,-10,86,77.2,79,72,-1.7,-3.9,-3.9,-6,37,28.88,27,17,52,26,100.59,100.06,100.21,99.84,96.66,96.17,96.32,95.98,16100,16033.3,15300,14500,2.3,2.1,2.1,1.9,18.7,0,0,0,0,0,0,0,8,07:48:00,17:19:00,9.52,7.8,17.32,1,1,1,1,-5,-4,,4,4,3.5,3,,,,,,,,
